Rank,Team,Player,Matches,Innings,Bat Avg,Bat SR,HS,Runs
1,AFGHANISTAN,Rahmanullah GURBAZ,8,8,35.12,124.33,80,281
2,INDIA,Rohit SHARMA,8,8,36.71,156.7,92,257
3,AUSTRALIA,Travis HEAD,7,7,42.5,158.38,76,255
4,SOUTH AFRICA,Quinton DE KOCK,9,9,27,140.46,74,243
5,AFGHANISTAN,Ibrahim ZADRAN,8,8,28.87,107.44,70,231
6,WEST INDIES,Nicholas POORAN,7,7,38,146.15,98,228
7,USA,Andries GOUS,6,6,43.8,151.03,80,219
8,ENGLAND,Jos BUTTLER,8,7,42.8,158.51,83,214
9,INDIA,Suryakumar YADAV,8,8,28.42,135.37,53,199
10,SOUTH AFRICA,Heinrich KLAASEN,9,8,31.66,126.66,52,190
11,ENGLAND,Phil SALT,8,7,37.6,159.32,87,188
12,AUSTRALIA,David WARNER,7,7,29.66,139.06,56,178
13,INDIA,Rishabh PANT,8,8,24.42,127.61,42,171
14,AUSTRALIA,Marcus STOINIS,7,5,42.25,164.07,67,169
15,SOUTH AFRICA,David MILLER,9,8,28.16,102.42,59,169
16,SOUTH AFRICA,Tristan STUBBS,9,8,33,101.22,33,165
17,USA,Aaron JONES,6,6,40.5,135,94,162
18,BANGLADESH,Towhid HRIDOY,7,7,21.85,128.57,40,153
19,INDIA,Virat KOHLI,8,8,18.87,112.68,76,151
20,ENGLAND,Harry BROOK,8,6,72.5,157.6,53,145
