Rank,Team,Player,Matches,Overs,Strike Rate,Bowl. Avg.,Econ. Rate,Wickets
1,AFGHANISTAN,Fazalhaq FAROOQI,8,25.2,8.94,9.41,6.31,17
2,INDIA,Arshdeep SINGH,8,30,10.58,12.64,7.16,17
3,INDIA,Jasprit BUMRAH,8,29.4,11.86,8.26,4.17,15
4,SOUTH AFRICA,Anrich NORTJE,9,35,14,13.4,5.74,15
5,AFGHANISTAN,Rashid KHAN,8,29,12.42,12.78,6.17,14
6,BANGLADESH,Rishad HOSSAIN,7,25,10.71,13.85,7.76,14
7,AFGHANISTAN,Naveen-ul-Haq,8,26.4,12.3,12.3,6,13
8,WEST INDIES,Alzarri JOSEPH,7,24.3,11.3,13.61,7.22,13
9,AUSTRALIA,Adam ZAMPA,7,28,12.92,14.38,6.67,13
10,SOUTH AFRICA,Kagiso RABADA,9,31,14.3,15,6.29,13
11,SOUTH AFRICA,Tabraiz SHAMSI,5,16.5,9.18,11.63,7.6,11
12,WEST INDIES,Andre RUSSELL,7,20.1,11,12.81,6.99,11
13,BANGLADESH,Tanzim HASAN SAKIB,7,24,13.09,13.54,6.2,11
14,SOUTH AFRICA,Keshav MAHARAJ,8,28,15.27,15.9,6.25,11
15,INDIA,Hardik PANDYA,8,25,13.63,17.36,7.64,11
16,ENGLAND,Chris JORDAN,5,13.5,8.3,13.4,9.68,10
17,INDIA,Kuldeep YADAV,5,20,12,13.9,6.95,10
18,AUSTRALIA,Marcus STOINIS,7,17,10.2,15.1,8.88,10
19,ENGLAND,Adil RASHID,8,28,16.8,18.6,6.64,10
20,ENGLAND,Jofra ARCHER,8,26.2,15.8,19,7.21,10
