Match_Number,Match_Date,Venue,City,Team1,Team2,Toss_Winner,Toss_Decision,Team1_Runs,Team1_Wickets,Team1_RunRate,Target,Required_RunRate,Team2_Runs,Team2_Wickets,Team2_RunRate,DLS_Method,Tied_or_NoResult,Super_Over,Winner,WinningMargin_Runs,WinningMargin_Wickets,WinningMargin_BallsToSpare,Player_of_the_Match,Umpire1,Umpire2,Reserve_Umpire,Match_Referee,TV_Umpire,Tournament_Phase,Match_Type,Match_Timings
1,01-06-2024,Grand Prairie Stadium,Dallas,Canada,United States of America,United States of America,Field,194,5,9.7,195,9.75,197,3,11.15,No,No,No,United States of America,,7,14,Aaron Jones,Richard Illingworth,Sharfuddoula,Langton Rusere,Richie Richardson,Sam Nogajski,Group,Round-Robin,Night
2,02-06-2024,Providence Stadium,Providence,Papua New Guinea,West Indies,West Indies,Field,136,8,6.8,137,6.85,137,5,7.21,No,No,No,West Indies,,5,6,Roston Chase,Adrian Holdstock,Rashid Riaz,Kumar Dharmasena,Andy Pycroft,Ahsan Raza,Group,Round-Robin,Day
3,02-06-2024,Kensington Oval,Bridgetown,Oman,Namibia,Namibia,Field,109,10,5.54,110,5.5,109,6,5.45,No,Yes,Yes,Namibia,11,,0,David Wiese,Jayaraman Madanagopal,Joel Wilson,Asif Yaqoob,Ranjan Madugalle,Nitin Menon,Group,Round-Robin,Night
4,03-06-2024,Nassau County International Cricket Stadium,New York,Sri Lanka,South Africa,Sri Lanka,Bat,77,10,4.01,78,3.9,80,4,4.89,No,No,No,South Africa,,6,22,Anrich Nortje,Chris Brown,Richard Kettleborough,Alex Wharf,Jeff Crowe,Paul Reiffel,Group,Round-Robin,Day
5,03-06-2024,Providence Stadium,Providence,Afghanistan,Uganda,Uganda,Field,183,5,9.15,184,9.2,58,10,3.62,No,No,No,Afghanistan,125,,,Fazalhaq Farooqi,Ahsan Raza,Kumar Dharmasena,Rashid Riaz,Andy Pycroft,Adrian Holdstock,Group,Round-Robin,Night
6,04-06-2024,Kensington Oval,Bridgetown,Scotland,England,Scotland,Bat,90,0,9,,,,,,,Yes,No,No Result,,,,,Asif Yaqoob,Nitin Menon,Jayaraman Madanagopal,Ranjan Madugalle,Joel Wilson,Group,Round-Robin,Day
7,04-06-2024,Grand Prairie Stadium,Dallas,Nepal,Netherlands,Netherlands,Field,106,10,5.48,107,5.35,109,4,5.83,No,No,No,Netherlands,,6,8,Tim Pringle,Langton Rusere,Rod Tucker,Richard Illingworth,Richie Richardson,Sharfuddoula,Group,Round-Robin,Day
8,05-06-2024,Nassau County International Cricket Stadium,New York,Ireland,India,India,Field,96,10,6,97,4.85,97,2,7.86,No,No,No,India,,8,46,Jasprit Bumrah,Alex Wharf,Chris Gaffaney,Chris Brown,David Boon,Richard Kettleborough,Group,Round-Robin,Day
9,05-06-2024,Providence Stadium,Providence,Papua New Guinea,Uganda,Uganda,Field,77,10,4.01,78,3.9,78,7,4.25,No,No,No,Uganda,,3,10,Riazat Ali Shah,Adrian Holdstock,Rashid Riaz,Kumar Dharmasena,Javagal Srinath,Ahsan Raza,Group,Round-Robin,Night
10,05-06-2024,Kensington Oval,Bridgetown,Australia,Oman,Oman,Field,164,5,8.2,165,8.25,125,9,6.25,No,No,No,Australia,39,,,Marcus Stoinis,Asif Yaqoob,Joel Wilson,Nitin Menon,Ranjan Madugalle,Jayaraman Nadanagopal,Group,Round-Robin,Night
11,06-06-2024,Grand Prairie Stadium,Dallas,Pakistan,United States of America,United States of America,Field,159,7,7.95,160,8,159,3,7.95,No,Yes,Yes,United States of America,5,,0,Monank Patel,Allahuddien Paleker,Michael Gough,Rod Tucker,Jeff Crowe,Paul Reiffel,Group,Round-Robin,Day
12,06-06-2024,Kensington Oval,Bridgetown,Namibia,Scotland,Namibia,Bat,155,9,7.75,156,7.8,157,5,8.48,No,No,No,Scotland,,5,9,Michael Leask,Jayaraman Madanagopal,Nitin Menon,Joel Wilson,Andy Pycroft,Asif Yaqoob,Group,Round-Robin,Day
13,07-06-2024,Nassau County International Cricket Stadium,New York,Canada,Ireland,Ireland,Field,137,7,6.85,138,6.9,125,7,6.25,No,No,No,Canada,12,,,Nicholas Kirton,Richard Kettleborough,Sam Nogajski,Chris Gaffaney,Richie Richardson,Chris Brown,Group,Round-Robin,Day
14,07-06-2024,Providence Stadium,Providence,Afghanistan,New Zealand,New Zealand,Field,159,6,7.95,160,8,75,10,4.89,No,No,No,Afghanistan,84,,,Rahmanullah Gurbaz,Ahsan Raza,Kumar Dharmasena,Adrian Holdstock,Javagal Srinath,Rashid Riaz,Group,Round-Robin,Night
15,07-06-2024,Grand Prairie Stadium,Dallas,Sri Lanka,Bangladesh,Bangladesh,Field,124,9,6.2,125,6.25,125,8,6.57,No,No,No,Bangladesh,,2,6,Rishad Hossain,Michael Gough,Paul Reiffel,Rod Tucker,Jeff Crowe,Allahuddien Palekar,Group,Round-Robin,Night
16,08-06-2024,Nassau County International Cricket Stadium,New York,Netherlands,South Africa,South Africa,Field,103,9,5.15,104,5.2,106,6,5.62,No,No,No,South Africa,,4,7,David Miller,Chris Gaffaney,Sharfuddoula,Sam Nogajski,David Boon,Richard Kettleborough,Group,Round-Robin,Day
17,08-06-2024,Kensington Oval,Bridgetown,Australia,England,England,Field,201,7,10.05,202,10.1,165,6,8.25,No,No,No,Australia,36,,,Adam Zampa,Joel Wilson,Nitin Menon,Jayaraman Madanagopal,Andy Pycroft,Asif Yaqoob,Group,Round-Robin,Day
18,08-06-2024,Providence Stadium,Providence,West Indies,Uganda,West Indies,Bat,173,5,8.65,174,8.7,39,10,3.25,No,No,No,West Indies,134,,,Akeal Hosein,Kumar Dharmasena,Rashid Riaz,Ahsan Raza,Javagal Srinath,Adrian Holdstock,Group,Round-Robin,Night
