Team 1,Team 2,Winner,Margin,Ground,Match_Date
Canada,United States of America,United States of America,7 wickets,Dallas,01-06-2024
Papua New Guinea,West Indies,West Indies,5 wickets,Providence,02-06-2024
Oman,Namibia,Match Tied,Namibia won the Super Over,Bridgetown,02-06-2024
Sri Lanka,South Africa,South Africa,6 wickets,New York,03-06-2024
Afghanistan,Uganda,Afghanistan,125 runs,Providence,03-06-2024
Scotland,England,No Result,Match Abondoned Due to Rain,Bridgetown,04-06-2024
Nepal,Netherlands,Netherlands,6 wickets,Dallas,04-06-2024
Ireland,India,India,8 wickets,New York,05-06-2024
Papua New Guinea,Uganda,Uganda,3 wickets,Providence,05-06-2024
Australia,Oman,Australia,39 runs,Bridgetown,05-06-2024
Pakistan,United States of America,Match Tied,USA won the Super Over,Dallas,06-06-2024
Namibia,Scotland,Scotland,5 wickets,Bridgetown,06-06-2024
Canada,Ireland,Canada,12 runs,New York,07-06-2024
Afghanistan,New Zealand,Afghanistan,84 runs,Providence,07-06-2024
Sri Lanka,Bangladesh,Bangladesh,2 wickets,Dallas,07-06-2024
Netherlands,South Africa,South Africa,4 wickets,New York,08-06-2024
Australia,England,Australia,36 runs,Bridgetown,08-06-2024
West Indies,Uganda,West Indies,134 runs,Providence,08-06-2024
India,Pakistan,India,6 runs,New York,09-06-2024
Oman,Scotland,Scotland,7 wickets,North Sound,09-06-2024
South Africa,Bangladesh,South Africa,4 runs,New York,10-06-2024
Canada,Pakistan,Pakistan,7 wickets,New York,11-06-2024
Nepal,Sri Lanka,No Result,Match Abondoned Due to Rain,Lauderhill,11-06-2024
Namibia,Australia,Australia,9 wickets,North Sound,11-06-2024
United States of America,India,India,7 wickets,New York,12-06-2024
West Indies,New Zealand,West Indies,13 runs,Tarouba,12-06-2024
Bangladesh,Netherlands,Bangladesh,25 runs,Kingstown,13-06-2024
Oman,England,England,8 wickets,North Sound,13-06-2024
Papua New Guinea,Afghanistan,Afghanistan,7 wickets,Tarouba,13-06-2024
United States of America,Ireland,No Result,Match Abondoned Due to Rain,Lauderhill,14-06-2024
South Africa,Nepal,South Africa,1 run,Kingstown,14-06-2024
Uganda,New Zealand,New Zealand,9 wickets,Tarouba,14-06-2024
Canada,India,No Result,Match Abondoned Due to Rain,Lauderhill,15-06-2024
England,Namibia,England,41 runs,North Sound,15-06-2024
Scotland,Australia,Australia,5 wickets,Gros Islet,15-06-2024
Ireland,Pakistan,Pakistan,3 wickets,Lauderhill,16-06-2024
Bangladesh,Nepal,Bangladesh,21 runs,Kingstown,16-06-2024
Sri Lanka,Netherlands,Sri Lanka,83 runs,Gros Islet,16-06-2024
Papua New Guinea,New Zealand,New Zealand,7 wickets,Tarouba,17-06-2024
West Indies,Afghanistan,West Indies,104 runs,Gros Islet,17-06-2024
South Africa,United States of America,South Africa,18 runs,North Sound,19-06-2024
West Indies,England,England,8 wickets,Gros Islet,19-06-2024
India,Afghanistan,India,47 runs,Bridgetown,20-06-2024
Bangladesh,Australia,Australia,28 runs,North Sound,20-06-2024
South Africa,England,South Africa,7 runs,Gros Islet,21-06-2024
United States of America,West Indies,West Indies,9 wickets,Bridgetown,21-06-2024
India,Bangladesh,India,50 runs,North Sound,22-06-2024
Afghanistan,Australia,Afghanistan,21 runs,Kingstown,22-06-2024
United States of America,England,England,10 wickets,Bridgetown,23-06-2024
West Indies,South Africa,South Africa,3 wickets,North Sound,23-06-2024
India,Australia,India,24 runs,Gros Islet,24-06-2024
Afghanistan,Bangladesh,Afghanistan,8 runs,Kingstown,24-06-2024
Afghanistan,South Africa,South Africa,9 wickets,Tarouba,26-06-2024
India,England,India,68 runs,Providence,27-06-2024
India,South Africa,India,7 runs,Bridgetown,29-06-2024
