Rank,Team,Matches,Wins,Lost,NoResult,Agg.Points,PCT,Win %
1,INDIA,9,8,0,1,17,94.44,88.89
2,SOUTH AFRICA,9,8,1,0,16,88.89,88.89
3,WEST INDIES,7,5,2,0,10,71.43,71.43
4,AUSTRALIA,7,5,2,0,10,71.43,71.43
5,AFGHANISTAN,8,5,3,0,10,62.5,62.5
6,ENGLAND,8,4,3,1,9,56.25,50
7,SCOTLAND,4,2,1,1,5,62.5,50
8,NEW ZEALAND,4,2,2,0,4,50,50
9,PAKISTAN,4,2,2,0,4,50,50
10,BANGLADESH,7,3,4,0,6,42.86,42.86
11,USA,7,2,4,1,5,35.71,28.57
12,SRI LANKA,4,1,2,1,3,37.5,25
13,CANADA,4,1,2,1,3,37.5,25
14,NETHERLANDS,4,1,3,0,2,25,25
15,NAMIBIA,4,1,3,0,2,25,25
16,UGANDA,4,1,3,0,2,25,25
17,IRELAND,4,0,3,1,1,12.5,0
18,NEPAL,4,0,3,1,1,0,0
19,PAPUA NEW GUINEA,4,0,4,0,0,0,0
20,OMAN,4,0,4,0,0,0,0
