Ranking,Teams,Match 1,Match 2,Match 3,Match 4,Match 5,Match 6,Match 7,Match 8,Match 9
1,India,2,4,6,7,9,11,13,15,17
2,South Africa,2,4,6,8,10,12,14,16,16
3,Afghanistan,2,4,6,6,6,8,10,10,
4,England,1,1,3,5,7,7,9,9,
5,West Indies,2,4,6,8,8,10,10,,
6,Australia,2,4,6,8,10,10,10,,
7,Bangladesh,2,2,4,6,6,6,6,,
8,United States,2,4,4,5,5,5,5,,
9,Scotland,1,3,5,5,,,,,
10,New Zealand,0,0,2,4,,,,,
11,Pakistan,0,0,2,4,,,,,
12,Sri Lanka,0,0,1,3,,,,,
13,Canada,0,2,2,3,,,,,
14,Netherlands,2,2,2,2,,,,,
15,Namibia,2,2,2,2,,,,,
16,Uganda,0,2,2,2,,,,,
17,Ireland,0,0,1,1,,,,,
18,Nepal,0,0,0,0,,,,,
19,Papua New Guinea,0,0,0,0,,,,,
20,Oman,0,0,0,0,,,,,
